epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.195,0.87587,2.77246,1.39807,0.73934,0.71743,0.78399,0.66325,0.65211,0.99795,1.35679,0.00333004,0.00333004,0.00333004
2,315.638,0.64098,1.23159,1.16653,0.84564,0.85913,0.90482,0.76912,0.62428,0.62665,1.30836,0.00666265,0.00666265,0.00666265
3,612.38,0.66041,1.14334,1.1655,0.79925,0.78416,0.86227,0.76052,0.54636,0.70438,1.22835,0.00999236,0.00999236,0.00999236
4,906.493,0.6411,1.09398,1.15259,0.81779,0.67799,0.79868,0.63858,0.8169,0.96424,1.58472,0.00999023,0.00999023,0.00999023
5,1199.71,0.59444,0.98688,1.12028,0.91048,0.90305,0.92196,0.83167,0.47507,0.43071,1.12206,0.00998264,0.00998264,0.00998264
6,1493.14,0.55658,0.91562,1.09672,0.85499,0.94892,0.93403,0.86268,0.41626,0.38018,1.06453,0.00997288,0.00997288,0.00997288
7,1789.55,0.52708,0.86369,1.08003,0.88029,0.95494,0.93763,0.8741,0.3945,0.34996,1.03782,0.00996097,0.00996097,0.00996097
8,2087.96,0.50705,0.82694,1.06875,0.90442,0.9647,0.95325,0.89094,0.38247,0.34025,1.03767,0.0099469,0.0099469,0.0099469
9,2381.41,0.48803,0.79534,1.05962,0.92117,0.96649,0.96301,0.90771,0.36405,0.30942,1.02403,0.00993068,0.00993068,0.00993068
10,2676.41,0.47464,0.77786,1.05321,0.92411,0.93281,0.95377,0.90057,0.35482,0.33163,1.00059,0.00991232,0.00991232,0.00991232
11,2973.4,0.46091,0.74812,1.04801,0.91537,0.97775,0.96602,0.91703,0.34077,0.27204,0.9938,0.00989183,0.00989183,0.00989183
12,3269.89,0.45588,0.73359,1.04567,0.92196,0.98838,0.97142,0.92463,0.34281,0.2701,0.99625,0.00986922,0.00986922,0.00986922
13,3563.99,0.44446,0.72057,1.04127,0.96095,0.97131,0.98573,0.94004,0.3324,0.24549,0.98608,0.00984449,0.00984449,0.00984449
14,3858.53,0.43741,0.69426,1.03869,0.96287,0.97813,0.9867,0.94171,0.32896,0.22888,0.986,0.00981765,0.00981765,0.00981765
15,4153.4,0.42989,0.68932,1.03423,0.97339,0.97152,0.9866,0.94301,0.32799,0.23224,0.99587,0.00978873,0.00978873,0.00978873
16,4449.43,0.42742,0.67977,1.03471,0.96651,0.97447,0.98761,0.9427,0.33683,0.23281,0.99518,0.00975773,0.00975773,0.00975773
17,4744.64,0.42254,0.66415,1.0337,0.97596,0.97807,0.99,0.95046,0.32303,0.21237,0.98317,0.00972466,0.00972466,0.00972466
18,5039.81,0.41287,0.64988,1.02656,0.9755,0.9788,0.99123,0.9536,0.31634,0.20728,0.98257,0.00968955,0.00968955,0.00968955
19,5334.32,0.40712,0.64613,1.02746,0.98072,0.98223,0.99112,0.9512,0.3192,0.20827,0.97418,0.00965239,0.00965239,0.00965239
20,5628.2,0.40641,0.63185,1.0256,0.98583,0.98994,0.99407,0.95473,0.31411,0.18758,0.97937,0.00961322,0.00961322,0.00961322
21,5921.72,0.40353,0.62273,1.02291,0.9916,0.98815,0.99424,0.95892,0.31208,0.18425,0.97456,0.00957205,0.00957205,0.00957205
22,6218.44,0.40025,0.61447,1.02263,0.99035,0.98679,0.99332,0.9585,0.309,0.18825,0.9711,0.00952889,0.00952889,0.00952889
23,6516.27,0.40306,0.60861,1.02411,0.98844,0.99365,0.9944,0.95654,0.30624,0.17754,0.96916,0.00948377,0.00948377,0.00948377
24,6810.69,0.39494,0.59748,1.02116,0.98973,0.98992,0.99378,0.95819,0.3023,0.17537,0.96817,0.00943671,0.00943671,0.00943671
25,7104.85,0.39139,0.59236,1.01994,0.98515,0.98948,0.99308,0.96029,0.30206,0.1764,0.9682,0.00938772,0.00938772,0.00938772
26,7400.97,0.38994,0.58801,1.01684,0.99151,0.99513,0.99459,0.96336,0.30022,0.17129,0.9643,0.00933683,0.00933683,0.00933683
27,7696.35,0.38995,0.58202,1.02108,0.99345,0.99461,0.99443,0.96422,0.29914,0.17521,0.96122,0.00928405,0.00928405,0.00928405
28,7990.89,0.38385,0.58349,1.01836,0.99201,0.99635,0.99477,0.96383,0.30016,0.1674,0.96448,0.00922942,0.00922942,0.00922942
29,8285.21,0.3839,0.5726,1.01889,0.99552,0.99415,0.99488,0.96282,0.29503,0.16824,0.96148,0.00917296,0.00917296,0.00917296
30,8578.43,0.38404,0.56904,1.01756,0.99586,0.99759,0.99497,0.96123,0.30034,0.16503,0.96333,0.00911469,0.00911469,0.00911469
31,8871.64,0.38141,0.56262,1.01505,0.99113,0.99749,0.99466,0.96421,0.29535,0.16524,0.96248,0.00905463,0.00905463,0.00905463
32,9165.91,0.37955,0.55884,1.01665,0.99641,0.99716,0.99491,0.96482,0.29555,0.16131,0.95902,0.00899282,0.00899282,0.00899282
33,9458.21,0.37819,0.5541,1.01561,0.9957,0.99704,0.99475,0.9646,0.29526,0.15894,0.95782,0.00892928,0.00892928,0.00892928
34,9752.47,0.37425,0.55255,1.01374,0.99467,0.99741,0.99495,0.96504,0.29726,0.16016,0.95914,0.00886404,0.00886404,0.00886404
35,10046.4,0.3749,0.54671,1.01443,0.99711,0.99777,0.99498,0.96758,0.29349,0.15859,0.95838,0.00879713,0.00879713,0.00879713
36,10339.4,0.37031,0.53782,1.01159,0.99759,0.9979,0.99497,0.96583,0.29717,0.16272,0.96105,0.00872857,0.00872857,0.00872857
37,10633.1,0.37258,0.53659,1.01125,0.99537,0.99865,0.99499,0.96651,0.29239,0.15813,0.95828,0.00865839,0.00865839,0.00865839
38,10925.7,0.36721,0.52649,1.01096,0.99396,0.99797,0.995,0.96596,0.29161,0.15698,0.95766,0.00858664,0.00858664,0.00858664
