epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,836.454,0.86165,2.65498,1.38798,0.70954,0.75954,0.8205,0.6942,0.65612,0.95514,1.35626,0.00333004,0.00333004,0.00333004
2,1550.5,0.6684,1.32939,1.18675,0.77048,0.90359,0.89508,0.77584,0.57778,0.65047,1.26667,0.00653143,0.00653143,0.00653143
3,2245.57,0.68137,1.1935,1.1863,0.84666,0.82922,0.87713,0.76591,0.55242,0.66518,1.23995,0.00960083,0.00960083,0.00960083
4,3024.56,0.66743,1.12876,1.17356,0.91582,0.90523,0.92041,0.8261,0.48222,0.47304,1.13803,0.009406,0.009406,0.009406
5,4804.31,0.61647,1.0232,1.14036,0.87464,0.92963,0.92677,0.83407,0.49308,0.44788,1.14529,0.009208,0.009208,0.009208
6,5501.42,0.57788,0.94442,1.1139,0.86526,0.9791,0.92664,0.85525,0.42755,0.39915,1.073,0.00901,0.00901,0.00901
7,6182.93,0.55371,0.90418,1.0985,0.89577,0.96289,0.93278,0.85237,0.45212,0.39378,1.0843,0.008812,0.008812,0.008812
8,6670.16,0.53027,0.87037,1.08598,0.87852,0.93724,0.93882,0.86161,0.43189,0.40458,1.05687,0.008614,0.008614,0.008614
9,7365.29,0.51723,0.83569,1.0793,0.90795,0.9565,0.96466,0.90388,0.37498,0.32616,1.01653,0.008416,0.008416,0.008416
10,8060.56,0.50353,0.80296,1.06958,0.9133,0.97111,0.95992,0.89733,0.3851,0.30993,1.0285,0.008218,0.008218,0.008218
11,780.801,0.49154,0.77829,1.0638,0.92026,0.96685,0.96605,0.9091,0.37739,0.3006,1.01003,0.00802,0.00802,0.00802
12,1506.43,0.48227,0.77047,1.05613,0.92488,0.97944,0.96984,0.91525,0.36579,0.27688,0.9997,0.007822,0.007822,0.007822
13,2195.51,0.47379,0.7303,1.0519,0.95525,0.97173,0.98517,0.93671,0.34571,0.25689,0.99075,0.007624,0.007624,0.007624
14,2920.33,0.4641,0.72016,1.04629,0.94655,0.95461,0.9799,0.9274,0.35958,0.27449,0.99439,0.007426,0.007426,0.007426
15,3680,0.4581,0.69975,1.04379,0.95867,0.97464,0.98371,0.93692,0.34967,0.24328,0.9891,0.007228,0.007228,0.007228
16,4474.5,0.44916,0.68365,1.03733,0.97537,0.97282,0.98759,0.94141,0.33623,0.22888,0.9808,0.00703,0.00703,0.00703
17,5175.12,0.44411,0.67081,1.03569,0.97922,0.97887,0.99223,0.94511,0.33857,0.21448,0.97572,0.006832,0.006832,0.006832
18,5533.59,0.43844,0.66257,1.03422,0.98094,0.98951,0.99282,0.94357,0.33875,0.20874,0.97746,0.006634,0.006634,0.006634
19,7263.31,0.43668,0.65045,1.03424,0.97692,0.98737,0.9918,0.94626,0.3446,0.20419,0.97353,0.006436,0.006436,0.006436
20,7995.16,0.43225,0.63553,1.02999,0.98785,0.98911,0.9934,0.95133,0.33113,0.19388,0.97181,0.006238,0.006238,0.006238
21,8550.91,0.42828,0.62888,1.02999,0.98107,0.99045,0.99329,0.94863,0.33197,0.19524,0.9727,0.00604,0.00604,0.00604
22,8970.54,0.41944,0.61879,1.02513,0.98865,0.99032,0.99461,0.95277,0.32589,0.18732,0.96336,0.005842,0.005842,0.005842
23,9449.93,0.42127,0.6173,1.02365,0.99108,0.99328,0.99464,0.95502,0.31899,0.17847,0.96153,0.005644,0.005644,0.005644
24,10145.8,0.41374,0.60338,1.02421,0.99404,0.99442,0.99482,0.95498,0.33293,0.18249,0.97131,0.005446,0.005446,0.005446
25,10884.3,0.41214,0.59246,1.021,0.99581,0.99406,0.9948,0.95601,0.32433,0.17871,0.96822,0.005248,0.005248,0.005248
26,11640.8,0.41002,0.58824,1.02004,0.99287,0.99487,0.99463,0.95913,0.3162,0.17057,0.9638,0.00505,0.00505,0.00505
